file,latitude,longitude,gps_altitude_m,reference_elevation_m,delta_m
fdr_Test_Ruta_Jorge_1785938082200.gpx,-35.146711,-70.082061,2282.0,2250.5,-31.5
fdr_Test_Ruta_Jorge_1785938082200.gpx,-35.146586,-70.082172,2282.0,2249.1,-32.9
fdr_Test_Ruta_Jorge_1785938082200.gpx,-35.142450,-70.084322,2286.5,2277.0,-9.5
fdr_Test_Ruta_Jorge_1785938082200.gpx,-35.142583,-70.082711,2295.3,2260.6,-34.7
fdr_Test_Ruta_Jorge_1785938082200.gpx,-35.142583,-70.082711,2295.3,2260.6,-34.7
fdr_Test_Ruta_Jorge_1785938928750.gpx,-35.138230,-70.086754,2274.0,2351.7,77.7
fdr_Test_Ruta_Jorge_1785938928750.gpx,-35.138224,-70.086725,2274.0,2351.7,77.7
fdr_Test_Ruta_Jorge_1785939187197.gpx,-35.142362,-70.083151,2295.3,2264.3,-31.0
fdr_Test_Ruta_Jorge_1785939191617.gpx,-35.142379,-70.083138,2295.3,2264.3,-31.0
fdr_Test_Ruta_Jorge_1785939191617.gpx,-35.142561,-70.082680,2295.3,2260.6,-34.7
fdr_Test_Ruta_Jorge_1785939191617.gpx,-35.142561,-70.082680,2295.3,2260.6,-34.7
fdr_Test_Ruta_Jorge_1785939191617.gpx,-35.142561,-70.082680,2295.3,2260.6,-34.7
fdr_Test_Ruta_Jorge_1785939191617.gpx,-35.142561,-70.082680,2295.3,2260.6,-34.7
fdr_Test_Ruta_Jorge_1785940338881.gpx,-35.149061,-70.084153,2310.9,2287.8,-23.1
fdr_Test_Ruta_Jorge_1785940338881.gpx,-35.149061,-70.084153,2310.9,2287.8,-23.1
fdr_Test_Ruta_minerva5_Jorge_1786109139640.gpx,-35.139088,-70.092907,2286.5,2494.1,207.6
fdr_Test_Ruta_minerva5_Jorge_1786109139640.gpx,-35.139121,-70.092899,2286.5,2494.1,207.6
fdr_Test_Ruta_minerva5_Jorge_1786109347566.gpx,-35.142583,-70.082993,2262.9,2262.8,-0.1
fdr_Test_Ruta_minerva5_Jorge_1786109347566.gpx,-35.142677,-70.083355,2295.3,2266.1,-29.2
fdr_Test_Ruta_minerva5_Jorge_1786109347566.gpx,-35.142677,-70.083355,2295.3,2266.1,-29.2
fdr_Test_Ruta_minerva5_Jorge_1786109347566.gpx,-35.142677,-70.083355,2295.3,2266.1,-29.2
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786109696207.gpx,-35.139471,-70.093259,2295.3,2495.1,199.8
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786109696207.gpx,-35.140059,-70.093421,2499.3,2486.2,-13.1
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786109696207.gpx,-35.140986,-70.092477,2492.5,2449.6,-42.9
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786109696207.gpx,-35.141278,-70.092182,2489.1,2441.7,-47.4
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786109696207.gpx,-35.141391,-70.092073,2488.0,2438.7,-49.3
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786109696207.gpx,-35.141455,-70.092050,2482.5,2434.1,-48.4
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786109696207.gpx,-35.143386,-70.090250,2431.2,2377.7,-53.5
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786110064238.gpx,-35.144506,-70.084857,2288.0,2302.8,14.8
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786110064238.gpx,-35.142539,-70.082684,2295.3,2260.6,-34.7
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786115464368.gpx,-35.138991,-70.095274,2290.7,2551.0,260.3
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786115464368.gpx,-35.143766,-70.097324,2296.1,2620.4,324.3
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786115464368.gpx,-35.143766,-70.097324,2296.1,2620.4,324.3
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786115619335.gpx,-35.138895,-70.095821,2290.7,2566.6,275.9
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786115633591.gpx,-35.138930,-70.095780,2290.7,2560.1,269.4
fdr_Test_Ruta_minerva5i_nihilismo__Jorge_1786115633591.gpx,-35.138948,-70.095746,2290.7,2560.1,269.4
fdr_Test_Ruta_minerva_Jorge_1785941524080.gpx,-35.139126,-70.092847,2295.3,2494.1,198.8
fdr_Test_Ruta_minerva_Jorge_1785941524080.gpx,-35.139126,-70.092847,2295.3,2494.1,198.8
fdr_Test_Ruta_minerva_Jorge_1785943334390.gpx,-35.138576,-70.095896,2302.0,2561.9,259.9
fdr_Test_Ruta_minerva_Jorge_1785943334390.gpx,-35.148108,-70.082374,2293.0,2268.5,-24.5
fdr_Test_Ruta_minerva_Jorge_1785943334390.gpx,-35.148108,-70.082374,2293.0,2268.5,-24.5
fdr_Test_Ruta_minerva_Jorge_1785943687120.gpx,-35.147917,-70.080417,2285.7,2263.4,-22.3
fdr_Test_Ruta_minerva_Jorge_1785945896212.gpx,-35.142710,-70.082971,2285.7,2262.8,-22.9
fdr_Test_Ruta_minerva_Jorge_1785945896212.gpx,-35.142373,-70.083158,2283.6,2264.3,-19.3
fdr_Test_Ruta_minerva_Jorge_1785945896212.gpx,-35.142373,-70.083158,2283.6,2264.3,-19.3
fdr_Test_Ruta_minerva_Jorge_1785947065920.gpx,-35.147848,-70.081526,2299.2,2260.2,-39.0
fdr_Test_Ruta_minerva_Jorge_1785947065920.gpx,-35.142788,-70.084207,2299.2,2274.6,-24.6
fdr_Test_Ruta_minerva_Jorge_1785947065920.gpx,-35.142788,-70.084207,2299.2,2274.6,-24.6
fdr_Test_Ruta_minerva_Jorge_1785949105490.gpx,-35.142817,-70.084407,2305.6,2277.2,-28.4
